"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342215436,"2MASS J16035767-2031055",142.5780971527154,"PACS100","100",0.0724365,0.000563542,32.7859,240.99025794455133,-20.518294804997904
1342215462,"2MASS J16042165-2130284",150.1163401636268,"PACS100","100",1.06237,0.000412424,39.5874,241.09018638488968,-21.50800486874976
1342215464,"2MASS J16010801-2113184",147.49262536873155,"PACS70","70",0.00000510523,0.00000510523,1.49277,240.28336304124267,-21.221891393747903
1342215464,"2MASS J16010801-2113184",,"PACS70","70",0.000370056,0.000370056,1.48054,240.28336303124266,-21.221891353747903
1342215504,"TYC 6793-819-1",,"PACS100","100",0.0336328,0.000756469,24.8639,243.54610462899555,-23.093455153125
1342217492,"2MASS J05030659+2523197",169.57775139901645,"PACS100","100",0.0439233,0.000486759,36.9598,75.77750552723961,25.388725338751573
1342217508,"V* RW Aur",64.85084306095979,"PACS100","100",1.06339,0.000942233,39.5494,76.95607705287337,30.401240881248235
1342221134,"V* EO Cha",98.17685578801652,"PACS70","70",0.00035185,0.00035185,0.405005,131.13239744743896,-78.7752321253247
1342222458,"V* V1217 Cen",65.4917447655723,"PACS70","70",0.00071386,0.00071386,0.245404,170.2725807626002,-38.754636298056994
1342228862,"V* T Tau",144.3209698369173,"PACS100","100",7.30012,0.00150714,26.9429,65.49767404860278,19.535073793680905
